DATE,US HOME PRICE INDEX,GROSS DEMOSTRIC PRODUCT,HOMEOWNERSHIP RATE,HOUSING STARTS,MEDIAN SALES PRICE,MORTGAGE RATE,POPULATION,UNEMP RATE
2012-08-01,4.964793778386951,0.0,65.5,754.0,12.42440865913169,3.602,315031.0,2.2082744135228043
2012-09-01,4.969174206510637,0.0,65.5,847.0,12.42440865913169,3.4975,315264.0,2.174751721484161
2012-10-01,4.973971309724664,16420.419,65.4,915.0,12.435997154099226,3.3825,315485.0,2.174751721484161
2012-11-01,4.980760108477435,0.0,65.4,833.0,12.435997154099226,3.352,315692.0,2.163323025660538
2012-12-01,4.987045906063154,0.0,65.4,976.0,12.435997154099226,3.345,315877.0,2.186051276738094
2013-01-01,4.996042671126617,16648.189,65.0,888.0,12.462267920852137,3.414,316038.0,2.1972245773362196
2013-02-01,5.002495589735841,0.0,65.0,962.0,12.462267920852137,3.5325,316191.0,2.163323025660538
2013-03-01,5.017034773676824,0.0,65.0,1010.0,12.462267920852137,3.565,316357.0,2.1400661634962708
2013-04-01,5.027289178450691,16728.687,65.0,835.0,12.499119054168606,3.445,316535.0,2.151762203259462
2013-05-01,5.035978101768051,0.0,65.0,930.0,12.499119054168606,3.536,316729.0,2.1400661634962708
2013-06-01,5.0447146077491185,0.0,65.0,839.0,12.499119054168606,4.07,316934.0,2.1400661634962708
2013-07-01,5.053720326014655,16953.838,65.3,880.0,12.486733879472904,4.37,317156.0,2.1162555148025524
2013-08-01,5.06237348950067,0.0,65.3,917.0,12.486733879472904,4.456,317397.0,2.1041341542702074
2013-09-01,5.070330857020119,0.0,65.3,850.0,12.486733879472904,4.49,317635.0,2.1041341542702074
2013-10-01,5.076685172557755,17192.019,65.2,925.0,12.519426119694613,4.192,317864.0,2.1041341542702074
2013-11-01,5.08186388671737,0.0,65.2,1100.0,12.519426119694613,4.255,318076.0,2.066862759472976
2013-12-01,5.0875592975094595,0.0,65.2,1002.0,12.519426119694613,4.4575,318276.0,2.0412203288596382
2014-01-01,5.093302247730026,17197.738,64.8,888.0,12.525257018755655,4.432,318464.0,2.028148247292285
2014-02-01,5.096965883847276,0.0,64.8,944.0,12.525257018755655,4.3025,318642.0,2.0412203288596382
2014-03-01,5.100390680623585,0.0,64.8,970.0,12.525257018755655,4.3425,318827.0,2.0412203288596382
2014-04-01,5.10225990264014,17518.508,64.7,1043.0,12.570719231334277,4.3375,319020.0,1.9740810260220096
2014-05-01,5.10388274187028,0.0,64.7,1007.0,12.570719231334277,4.192,319225.0,1.9878743481543455
2014-06-01,5.106333277482929,0.0,64.7,911.0,12.570719231334277,4.1625,319438.0,1.9600947840472698
2014-07-01,5.109448422315687,17804.228,64.4,1085.0,12.546113507028412,4.13,319670.0,1.9740810260220096
2014-08-01,5.1132821310563985,0.0,64.4,984.0,12.546113507028412,4.115,319919.0,1.9600947840472698
2014-09-01,5.1174247882777735,0.0,64.4,1023.0,12.546113507028412,4.1625,320166.0,1.9315214116032138
2014-10-01,5.121824788202525,17912.079,64.0,1074.0,12.607867693866968,4.036,320403.0,1.9021075263969205
2014-11-01,5.125956041548335,0.0,64.0,1001.0,12.607867693866968,3.9975,320616.0,1.916922612182061
2014-12-01,5.130200444546041,0.0,64.0,1073.0,12.607867693866968,3.864,320815.0,1.8870696490323797
2015-01-01,5.13364317496415,18063.529,63.7,1085.0,12.57487722707543,3.67,320997.0,1.9021075263969205
2015-02-01,5.1365569728186635,0.0,63.7,886.0,12.57487722707543,3.71,321164.0,1.8718021769015913
2015-03-01,5.140487426536393,0.0,63.7,960.0,12.57487722707543,3.77,321344.0,1.8562979903656263
2015-04-01,5.143404729838682,18279.784,63.4,1190.0,12.574531387009179,3.672,321538.0,1.8562979903656263
2015-05-01,5.146796558906795,0.0,63.4,1079.0,12.574531387009179,3.84,321740.0,1.8870696490323797
2015-06-01,5.150229106396316,0.0,63.4,1205.0,12.574531387009179,3.9825,321954.0,1.840549633397487
2015-07-01,5.154060085260264,18401.626,63.7,1146.0,12.597442209915732,4.046,322186.0,1.824549292051046
2015-08-01,5.158687415461644,0.0,63.7,1130.0,12.597442209915732,3.905,322427.0,1.8082887711792655
2015-09-01,5.163802633459859,0.0,63.7,1224.0,12.597442209915732,3.89,322670.0,1.791759469228055
2015-10-01,5.169301477958525,18435.137,63.8,1058.0,12.619839862232693,3.796,322901.0,1.791759469228055
2015-11-01,5.174668409968346,0.0,63.8,1172.0,12.619839862232693,3.9425,323113.0,1.8082887711792655
2015-12-01,5.179218465520428,0.0,63.8,1146.0,12.619839862232693,3.964,323318.0,1.791759469228055
2016-01-01,5.183321692587178,18525.933,63.5,1092.0,12.61087420020211,3.8725,323509.0,1.7578579175523736
2016-02-01,5.185422986916669,0.0,63.5,1225.0,12.61087420020211,3.66,323687.0,1.7749523509116738
2016-03-01,5.188301587502014,0.0,63.5,1111.0,12.61087420020211,3.694,323871.0,1.791759469228055
2016-04-01,5.191656005157162,18711.702,62.9,1163.0,12.631343648903034,3.605,324061.0,1.8082887711792655
2016-05-01,5.195337348589269,0.0,62.9,1148.0,12.631343648903034,3.6,324260.0,1.7578579175523736
2016-06-01,5.198961012007902,0.0,62.9,1203.0,12.631343648903034,3.568,324476.0,1.7749523509116738
2016-07-01,5.203094182959432,18892.639,63.5,1239.0,12.624128160777628,3.44,324697.0,1.7578579175523736
2016-08-01,5.20866614459539,0.0,63.5,1171.0,12.624128160777628,3.435,324924.0,1.7749523509116738
2016-09-01,5.213973338110138,0.0,63.5,1068.0,12.624128160777628,3.46,325155.0,1.791759469228055
2016-10-01,5.2190035598283115,19089.379,63.7,1313.0,12.64722981250999,3.47,325368.0,1.7749523509116738
2016-11-01,5.224450134644824,0.0,63.7,1140.0,12.64722981250999,3.77,325562.0,1.7404661748405046
2016-12-01,5.22963694624313,0.0,63.7,1252.0,12.64722981250999,4.198,325742.0,1.7404661748405046
2017-01-01,5.235404190487906,19280.084,63.6,1190.0,12.65428110117717,4.15,325901.0,1.7404661748405046
2017-02-01,5.238105472047964,0.0,63.6,1271.0,12.65428110117717,4.1675,326050.0,1.7227665977411035
2017-03-01,5.241704686121458,0.0,63.6,1190.0,12.65428110117717,4.196,326207.0,1.6863989535702288
2017-04-01,5.245570384489421,19438.643,63.7,1146.0,12.670438537558447,4.045,326371.0,1.6863989535702288
2017-05-01,5.250260933132348,0.0,63.7,1157.0,12.670438537558447,4.01,326548.0,1.6863989535702288
2017-06-01,5.254955691434104,0.0,63.7,1249.0,12.670438537558447,3.904,326743.0,1.667706820558076
2017-07-01,5.259836379729755,19692.595,63.9,1206.0,12.677640675462799,3.9675,326939.0,1.667706820558076
2017-08-01,5.266119535130218,0.0,63.9,1159.0,12.677640675462799,3.88,327140.0,1.6863989535702288
2017-09-01,5.271762896776775,0.0,63.9,1181.0,12.677640675462799,3.805,327342.0,1.667706820558076
2017-10-01,5.277119266031857,20037.088,64.2,1257.0,12.730508232153463,3.895,327528.0,1.6486586255873816
2017-11-01,5.2829905080385275,0.0,64.2,1273.0,12.730508232153463,3.922,327699.0,1.6486586255873816
2017-12-01,5.289165616744126,0.0,64.2,1177.0,12.730508232153463,3.95,327848.0,1.62924053973028
2018-01-01,5.294881470612136,20328.553,64.2,1299.0,12.712290670597714,4.0325,327969.0,1.6094379124341003
2018-02-01,5.299451722922501,0.0,64.2,1277.0,12.712290670597714,4.33,328085.0,1.62924053973028
2018-03-01,5.303110859382103,0.0,64.2,1318.0,12.712290670597714,4.444,328219.0,1.6094379124341003
2018-04-01,5.306558316449615,20580.912,64.3,1276.0,12.662234036516644,4.4675,328364.0,1.6094379124341003
2018-05-01,5.310359567320824,0.0,64.3,1357.0,12.662234036516644,4.586,328521.0,1.5686159179138452
2018-06-01,5.314372785742744,0.0,64.3,1192.0,12.662234036516644,4.57,328692.0,1.6094379124341003
2018-07-01,5.317664007545323,20798.73,64.4,1208.0,12.709574515966183,4.5275,328863.0,1.5686159179138452
2018-08-01,5.321486868574679,0.0,64.4,1288.0,12.709574515966183,4.55,329040.0,1.5686159179138452
2018-09-01,5.324730449499652,0.0,64.4,1250.0,12.709574515966183,4.6275,329216.0,1.547562508716013
2018-10-01,5.328458523460023,20917.867,64.8,1221.0,12.684791313266565,4.83,329379.0,1.5686159179138452
2018-11-01,5.331166865009756,0.0,64.8,1181.0,12.684791313266565,4.866,329527.0,1.5686159179138452
2018-12-01,5.333534885292438,0.0,64.8,1095.0,12.684791313266565,4.6375,329659.0,1.589235205116581
2019-01-01,5.3353192738172535,21104.133,64.2,1232.0,12.653961664405365,4.464,329766.0,1.6094379124341003
2019-02-01,5.336807043328561,0.0,64.2,1128.0,12.653961664405365,4.37,329862.0,1.5686159179138452
2019-03-01,5.337764015714316,0.0,64.2,1195.0,12.653961664405365,4.265,329977.0,1.5686159179138452
2019-04-01,5.339967817803224,21384.775,64.1,1267.0,12.683861515988351,4.1425,330103.0,1.5260563034950492
2019-05-01,5.3429943211525455,0.0,64.1,1307.0,12.683861515988351,4.072,330240.0,1.547562508716013
2019-06-01,5.345482401386037,0.0,64.1,1228.0,12.683861515988351,3.8025,330393.0,1.5260563034950492
2019-07-01,5.348354372135167,21694.282,64.8,1245.0,12.67106687365095,3.765,330553.0,1.547562508716013
2019-08-01,5.352341428992247,0.0,64.8,1367.0,12.67106687365095,3.616,330729.0,1.547562508716013
2019-09-01,5.35617581308569,0.0,64.8,1300.0,12.67106687365095,3.605,330904.0,1.5040773967762742
2019-10-01,5.360390350745815,21902.39,65.1,1332.0,12.698024270690864,3.688,331066.0,1.5260563034950492
2019-11-01,5.365064384659865,0.0,65.1,1346.0,12.698024270690864,3.695,331213.0,1.5260563034950492
2019-12-01,5.370428703895293,0.0,65.1,1551.0,12.698024270690864,3.72,331345.0,1.5260563034950492
2020-01-01,5.375250629520577,21706.513,65.3,1572.0,12.703816069256568,3.624,331443.0,1.5040773967762742
2020-02-01,5.3791459192106545,0.0,65.3,1565.0,12.703816069256568,3.465,331525.0,1.5040773967762742
2020-03-01,5.381577968165997,0.0,65.3,1267.0,12.703816069256568,3.45,331634.0,1.6863989535702288
2020-04-01,5.383581801856548,19913.143,67.9,925.0,12.684171544482453,3.306,331684.0,2.7536607123542622
2020-05-01,5.384435427983447,0.0,67.9,1054.0,12.684171544482453,3.2325,331685.0,2.653241964607215
2020-06-01,5.387380803288797,0.0,67.9,1266.0,12.684171544482453,3.1625,331728.0,2.4849066497880004
2020-07-01,5.395090112644299,21647.64,67.4,1529.0,12.729323752253295,3.016,331795.0,2.4159137783010487
2020-08-01,5.409071311482571,0.0,67.4,1377.0,12.729323752253295,2.935,331870.0,2.2407096892759584
2020-09-01,5.42430223062028,0.0,67.4,1463.0,12.729323752253295,2.89,331950.0,2.186051276738094
2020-10-01,5.441469208888254,22024.502,65.8,1537.0,12.790244451361485,2.834,332025.0,2.066862759472976
2020-11-01,5.45632488491671,0.0,65.8,1545.0,12.790244451361485,2.765,332063.0,2.0412203288596382
2020-12-01,5.470256040618416,0.0,65.8,1663.0,12.790244451361485,2.684,332047.0,2.0412203288596382
2021-01-01,5.482965381704557,22600.185,65.6,1602.0,12.820720302095918,2.735,331992.0,1.9878743481543455
2021-02-01,5.494397998312557,0.0,65.6,1422.0,12.820720302095918,2.81,331968.0,1.9740810260220096
2021-03-01,5.506964348509539,0.0,65.6,1700.0,12.820720302095918,3.0825,332007.0,1.9600947840472698
2021-04-01,5.5216808936657955,23292.362,65.4,1484.0,12.85474794968064,3.06,332073.0,1.9600947840472698
2021-05-01,5.539010027501636,0.0,65.4,1600.0,12.85474794968064,2.9625,332144.0,1.916922612182061
2021-06-01,5.55829802324753,0.0,65.4,1661.0,12.85474794968064,2.975,332231.0,1.9315214116032138
2021-07-01,5.574838638323568,23828.973,65.4,1593.0,12.92683742502675,2.868,332358.0,1.8562979903656263
